animal,timestep,roi,side,value
8,16,aif,re,564.471313
8,17,aif,re,446.145721
8,18,aif,re,488.820526
8,19,aif,re,919.44812
8,20,aif,re,1384.991577
8,21,aif,re,1481.979736
8,22,aif,re,1763.245483
8,23,aif,re,1565.389526
8,24,aif,re,1223.991089
8,25,aif,re,973.761536
8,26,aif,re,1030.014648
8,27,aif,re,1090.147339
8,28,aif,re,1061.050903
8,29,aif,re,1113.424561
8,30,aif,re,1423.786865
8,31,aif,re,1559.570312
8,32,aif,re,1606.124634
8,33,aif,re,1522.714722
8,34,aif,re,1565.389526
8,35,aif,re,1555.690674
8,36,aif,re,1542.112427
8,37,aif,re,1544.052124
8,38,aif,re,1569.269165
8,39,aif,re,1493.618286
1,0,aif,li,2174.544434
1,1,aif,li,2151.003174
1,2,aif,li,2064.908936
1,3,aif,li,2056.837891
1,4,aif,li,2140.914062
1,5,aif,li,2150.330566
1,6,aif,li,2134.860352
1,7,aif,li,2063.564209
1,8,aif,li,2097.19458
1,9,aif,li,2050.784424
1,10,aif,li,2246.513428
1,11,aif,li,2067.599365
1,12,aif,li,2083.069824
1,13,aif,li,2091.813721
1,14,aif,li,1604.844727
1,15,aif,li,817.219727
1,16,aif,li,718.346252
1,17,aif,li,785.607178
1,18,aif,li,1346.562988
1,19,aif,li,1685.557739
1,20,aif,li,1792.502563
1,21,aif,li,1731.295288
1,22,aif,li,1632.421509
1,23,aif,li,1332.43811
1,24,aif,li,1364.723389
1,25,aif,li,1567.851196
1,26,aif,li,1616.95166
1,27,aif,li,1574.577271
1,28,aif,li,1655.290161
1,29,aif,li,1666.724731
1,30,aif,li,1633.766968
1,31,aif,li,1692.956543
1,32,aif,li,1704.390747
1,33,aif,li,1651.254517
1,34,aif,li,1721.206055
1,35,aif,li,1777.032593
1,36,aif,li,1769.633789
1,37,aif,li,1744.074829
1,38,aif,li,1801.919067
1,39,aif,li,1801.919067
2,0,aif,li,1876.155762
2,1,aif,li,1843.432007
2,2,aif,li,1799.800537
2,3,aif,li,1897.971436
2,4,aif,li,1793.567505
2,5,aif,li,1838.757324
2,6,aif,li,1887.063599
2,7,aif,li,1846.548584
2,8,aif,li,1756.169067
2,9,aif,li,1740.586304
2,10,aif,li,1922.903809
2,11,aif,li,1774.868286
2,12,aif,li,1857.456543
2,13,aif,li,1921.345459
2,14,aif,li,1913.554199
2,15,aif,li,1686.046875
2,16,aif,li,1011.316528
2,17,aif,li,542.277588
2,18,aif,li,478.38855
2,19,aif,li,517.345276
2,20,aif,li,638.890259
2,21,aif,li,733.944641
2,22,aif,li,995.733765
2,23,aif,li,1444.515259
2,24,aif,li,1483.471924
2,25,aif,li,1366.601807
2,26,aif,li,1284.01355
2,27,aif,li,1042.481812
2,28,aif,li,1107.929199
2,29,aif,li,1126.628418
2,30,aif,li,1173.376465
2,31,aif,li,1120.395386
2,32,aif,li,1405.558594
2,33,aif,li,1162.468628
2,34,aif,li,1329.203369
2,35,aif,li,1310.50415
2,36,aif,li,1263.756104
2,37,aif,li,1252.848145
2,38,aif,li,1485.030273
2,39,aif,li,1349.460815
3,0,aif,li,1176.598633
3,1,aif,li,1175.876831
3,2,aif,li,1199.69751
3,3,aif,li,1134.010132
3,4,aif,li,1163.605469
3,5,aif,li,1217.021606
3,6,aif,li,1219.187134
3,7,aif,li,1150.612427
3,8,aif,li,1180.207886
3,9,aif,li,1197.531982
3,10,aif,li,1174.433105
3,11,aif,li,1203.306641
3,12,aif,li,1193.200928
3,13,aif,li,758.653503
3,14,aif,li,280.795624
3,15,aif,li,249.034683
3,16,aif,li,356.588776
3,17,aif,li,869.094971
3,18,aif,li,1005.522644
3,19,aif,li,924.676575
3,20,aif,li,732.667236
3,21,aif,li,599.126892
3,22,aif,li,695.131592
3,23,aif,li,736.276428
3,24,aif,li,876.313354
3,25,aif,li,843.108704
3,26,aif,li,760.097168
3,27,aif,li,724.72699
3,28,aif,li,869.816772
3,29,aif,li,788.970764
3,30,aif,li,820.009827
3,31,aif,li,807.738586
3,32,aif,li,910.96167
3,33,aif,li,877.035156
3,34,aif,li,855.380005
3,35,aif,li,833.724792
3,36,aif,li,860.432861
3,37,aif,li,877.757019
3,38,aif,li,892.193787
3,39,aif,li,880.644348
4,0,aif,li,2060.528809
4,1,aif,li,2162.297363
4,2,aif,li,2170.301514
4,3,aif,li,2094.832764
4,4,aif,li,2004.498779
4,5,aif,li,2165.727783
4,6,aif,li,2012.503052
4,7,aif,li,2119.989014
4,8,aif,li,2098.263184
4,9,aif,li,2058.241699
4,10,aif,li,1892.438965
4,11,aif,li,2201.175293
4,12,aif,li,2116.558594
4,13,aif,li,1638.589233
4,14,aif,li,793.566528
4,15,aif,li,600.320496
4,16,aif,li,747.827881
