animal,timestep,roi,side,value
1,2,lp,re,2398.291504
1,3,lp,re,2338.452637
1,4,lp,re,2370.180664
1,5,lp,re,2389.663574
1,6,lp,re,2428.071777
1,7,lp,re,2306.167236
1,8,lp,re,2386.32373
1,9,lp,re,2392.724609
1,10,lp,re,2403.022949
1,11,lp,re,2337.895752
1,12,lp,re,2349.306885
1,13,lp,re,2355.708496
1,14,lp,re,2264.418945
1,15,lp,re,1984.428345
1,16,lp,re,1908.724854
1,17,lp,re,2007.250244
1,18,lp,re,2187.045166
1,19,lp,re,2372.407715
1,20,lp,re,2348.47168
1,21,lp,re,2325.649902
1,22,lp,re,2290.859375
1,23,lp,re,2236.58667
1,24,lp,re,2295.869385
1,25,lp,re,2281.674316
1,26,lp,re,2313.125
1,27,lp,re,2307.002197
1,28,lp,re,2325.649414
1,29,lp,re,2262.192139
1,30,lp,re,2335.94751
1,31,lp,re,2308.393799
1,32,lp,re,2259.96582
1,33,lp,re,2320.083008
1,34,lp,re,2307.002197
1,35,lp,re,2289.189697
1,36,lp,re,2339.56543
1,37,lp,re,2298.6521
1,38,lp,re,2371.572266
1,39,lp,re,2340.400879
1,0,lp,li,2532.478516
1,1,lp,li,2522.070801
1,2,lp,li,2520.796143
1,3,lp,li,2515.061523
1,4,lp,li,2480.439453
1,5,lp,li,2544.160645
1,6,lp,li,2553.931396
1,7,lp,li,2505.928467
1,8,lp,li,2552.65625
1,9,lp,li,2498.281494
1,10,lp,li,2488.723389
1,11,lp,li,2499.768311
1,12,lp,li,2484.050537
1,13,lp,li,2525.256836
1,14,lp,li,2511.662842
1,15,lp,li,2290.339355
1,16,lp,li,2228.742676
1,17,lp,li,2189.023193
1,18,lp,li,2405.674561
1,19,lp,li,2503.379639
1,20,lp,li,2503.379395
1,21,lp,li,2502.317627
1,22,lp,li,2472.368652
1,23,lp,li,2422.029297
1,24,lp,li,2429.675537
1,25,lp,li,2436.260254
1,26,lp,li,2488.936035
1,27,lp,li,2512.087646
1,28,lp,li,2501.467773
1,29,lp,li,2491.697021
1,30,lp,li,2455.80127
1,31,lp,li,2474.49292
1,32,lp,li,2475.129639
1,33,lp,li,2493.395996
1,34,lp,li,2473.429932
1,35,lp,li,2436.896973
1,36,lp,li,2482.563721
1,37,lp,li,2477.25415
1,38,lp,li,2479.590088
1,39,lp,li,2447.729736
1,0,cs,re,1756.571167
1,1,cs,re,1768.040894
1,2,cs,re,1722.586792
1,3,cs,re,1756.99585
1,4,cs,re,1757.845581
1,5,cs,re,1766.341675
1,6,cs,re,1752.322998
